URL,Discount,Rating,Brand,Item,MRP,Reviews
tops/athena/athena-white-tie-up-neck-puff-sleeves-lace-top/13736998/buy,Rs. 645,4.2,Athena,Tie-Up Neck Puff Sleeves Top,Rs. 1699,7.7k
tops/pluss/pluss-green-floral-printed-v-neck-puff-sleeve-shirt-style-top/24428504/buy,Rs. 436,4.4,plusS,Floral Shirt Style Top,Rs. 1899,304
tops/her+by+invictus/her-by-invictus-women-off-white-solid-semi-sheer-top/6939204/buy,Rs. 719,4.1,her by invictus,Solid Top,Rs. 1799,6.6k
tops/mango/mango-embroidered-lace-inserts-pleated-top/27784978/buy,Rs. 3243,4.5,MANGO,Embroidered Lace Inserts Top,Rs. 4990,40
tops/qomn/qomn-ethnic-motifs-printed-mandarin-collar-pure-cotton-top/24350434/buy,Rs. 959,4.5,QOMN,Ethnic Printed Pure Cotton Top,Rs. 1499,610
tops/trendyol/trendyol-abstract-printed-one-shoulder-top/27680288/buy,Rs. 1124,4,Trendyol,Printed One Shoulder Top,Rs. 1499,143
tops/sassafras/sassafras-horizontal-striped-v-neck-top/25874916/buy,Rs. 591,4.2,SASSAFRAS,Horizontal Striped V-Neck Top,Rs. 1599,294
tops/dressberry/dressberry-round-neck-three-quarter-sleeves-top/24880870/buy,Rs. 542,3.5,DressBerry,Round Neck Regular Top,Rs. 1549,502
tops/athena/athena-round-neck-short-sleeves-textured-top/27400648/buy,Rs. 577,3.9,Athena,Round Neck Textured Top,Rs. 1699,169
tops/sassafras+basics/sassafras-basics-scoop-neck-tank-top/23286050/buy,Rs. 449,4.3,SASSAFRAS BASICS,Scoop Neck Tank Top,Rs. 999,1.9k
tops/only/only-floral-printed-puff-sleeves-gathered-chiffon-a-line-top/26195904/buy,Rs. 1249,4.3,ONLY,Chiffon A-Line Top,Rs. 2499,27
tops/trendyol/trendyol-off-shoulder-extended-sleeves-crop-top/27680698/buy,Rs. 1574,4.1,Trendyol,Off-Shoulder Crop Top,Rs. 2099,91
tops/dressberry/dressberry-maroon-ecovero-solid-a-line-sustainable-top/13645620/buy,Rs. 569,3.7,DressBerry,Solid A-Line Sustainable Top,Rs. 1499,1.1k
thermal-tops/jockey/jockey-men-black-solid-tailored-fit-thermal-top/14981114/buy,,4.5,Jockey,Men Solid Thermal Top,,2.3k
tops/trendyol/trendyol-one-shoulder-party-top/27536560/buy,Rs. 1359,4,Trendyol,One Shoulder Party Top,Rs. 1599,112
tops/trendyol/trendyol-abstract-printed-net-top/27117910/buy,Rs. 1049,4.5,Trendyol,Abstract Printed Net Top,Rs. 1399,238
tops/everyday+by+ani/everyday-by-ani-white-puff-sleeves-shirt-style-top/18300484/buy,Rs. 539,4.3,EVERYDAY by ANI,Puff Sleeves Shirt Style Top,Rs. 1999,6.3k
tops/dream+beauty+fashion/dream-beauty-fashion-women-black-geometric-print-puff-sleeves-top/19574610/buy,Rs. 395,4.1,Dream Beauty Fashion,Geometric Puff Sleeves Top,Rs. 1099,5.2k
tops/rock+paper+scissors/rock-paper-scissors-women-black-pure-cotton-high-neck-top/20819282/buy,Rs. 655,4.5,Rock Paper Scissors,Pure Cotton High Neck Top,Rs. 1599,701
tops/dressberry/dressberry-lime-green-floral-embroidered-round-neck-cuffed-sleeves-a-line-top/28165262/buy,Rs. 767,3.9,DressBerry,Floral Embroidered A-Line Top,Rs. 2399,2.1k
tops/h%26m/hm-women-cropped-vest-top/28659662/buy,,4.5,H&M,Women Cropped Vest Top,,2.9k
tops/tokyo+talkies/tokyo-talkies-navy-blue--red-checked-off-shoulder-bardot-crop-top/17445984/buy,Rs. 509,4.2,Tokyo Talkies,Checked Off-Shoulder Bardot Top,Rs. 1499,851
tops/berrybird/berrybird-sleeveless-square-neck-ribbed-crop-top/27684952/buy,Rs. 492,4.4,BerryBird,Sleeveless Ribbed Crop Top,Rs. 1449,993
tops/fablestreet/fablestreet-women-white--black-floral-print-satin-top/20689906/buy,Rs. 2113,4,FableStreet,Women Floral Print Top,Rs. 2895,614
tops/forever+new/forever-new-mandarin-collar-top/30099110/buy,,,Forever New,Mandarin Collar Top,,
tops/roadster/the-roadster-lifestyle-co-solid-top/1866511/buy,Rs. 239,4,Roadster,Solid Top,Rs. 999,3.1k
tops/mywishbag/mywishbag-sleeveless-square-neck-top/27030184/buy,Rs. 599,3.7,MYWISHBAG,Sleeveless Square Neck Top,Rs. 1499,33
