URL,Discount,Rating,Brand,Item,MRP,Reviews
kurta-sets/kalini/kalini-ethnic-motifs-printed-kurta-with-trousers--dupatta/26377138/buy,Rs. 782,3,KALINI,Kurta with Trousers & Dupatta,Rs. 4345,1.4k
kurta-sets/libas/libas-women-maroon-floral-embroidered-sequinned-kurta-with-trousers--dupatta/19076450/buy,Rs. 2279,4.5,Libas,Women Embroidered Kurta Set,Rs. 5999,3.6k
tops/anouk/anouk-white-mandarin-collar-empire-top/13238794/buy,Rs. 569,3.8,Anouk,Mandarin Collar Empire Top,Rs. 1899,8.3k
co-ords/here%26now/herenow-women-pleated-ethnic-tunic-with-trousers/25646016/buy,Rs. 1099,4.1,HERE&NOW,Women Tunic With Trousers,Rs. 2683,1.2k
kurta-sets/singni/singni-floral-printed-mirror-work-a-line-kurta-with-trousers--dupatta/24146476/buy,Rs. 959,4.1,SINGNI,Printed Mirrr Work Kurta Set,Rs. 5999,31.8k
kurta-sets/anouk/anouk-navy-blue-ethnic-motifs-printed-pure-cotton-anarkali-kurta--trouser-with-dupatta/26415006/buy,Rs. 1699,4.3,Anouk,Pure Cotton Anarkali Kurta Set,Rs. 4999,660
kurta-sets/anouk/anouk-v-neck-three-quarter-sleeves-panelled-kurta-with-palazzos/27752802/buy,Rs. 1286,4.3,Anouk,Panelled Kurta with Palazzos,Rs. 3899,1.5k
kurta-sets/libas/libas-floral-vine-pure-cotton-kurta-set/7319908/buy,Rs. 1443,4.4,Libas,Floral Vine Cotton Kurta Set,Rs. 3799,8.8k
kurta-sets/baesd/baesd-floral-printed-empire-mirror-work-anarkali-kurta-with-trousers--dupatta/28587440/buy,Rs. 719,3.6,BAESD,Kurta With Trousers & Dupatta,Rs. 2999,530
kurta-sets/libas/libas-women-off-white--pink-cotton-floral-thread-work-kurta-with-palazzos--dupatta/17487140/buy,Rs. 1767,4.4,Libas,Women Embroidered Kurta with Palazzos With Dupatta,Rs. 6799,6.4k
kurta-sets/skyasia/skyasia-floral-printed-regular-pure-cotton-kurta-with-trousers/24964602/buy,Rs. 971,4.1,SkyaSia,Printed Kurta with Trousers,Rs. 3599,2.5k
kurta-sets/anayna/anayna-women-ethnic-motifs-printed-regular-sequinned-kurta-with-trousers/24865776/buy,Rs. 1392,4.2,anayna,Women Printed Kurta with Trousers,Rs. 4350,513
kurta-sets/kalini/kalini-ethnic-motifs-embroidered-pure-cotton-straight-kurta--trouser-with-dupatta/26270416/buy,Rs. 1489,3.6,KALINI,Pure Cotton Straight Kurta Set,Rs. 7449,726
kurta-sets/kalini/kalini-floral-yoke-design-regular-sequinned-kurta-with-trousers--dupatta/26953994/buy,Rs. 937,4,KALINI,Yoke Design Kurta Set,Rs. 6699,521
kurta-sets/kalini/kalini-floral-printed-regular-pure-cotton-kurta--trousers-with-dupatta/24795002/buy,Rs. 1199,4.3,KALINI,Pure Cotton Kurta Set,Rs. 6999,2k
kurta-sets/janasya/janasya-women-embroidered-v-neck-sequinned-kurta-set-with-dupatta/21947052/buy,Rs. 1568,4.3,Janasya,Kurta With Trousers & Dupatta,Rs. 4239,634
kurta-sets/libas/libas-women-off-white--floral-mirror-detail-cotton-straight-kurta--palazzos-with-dupatta/17487188/buy,Rs. 2399,4.5,Libas,Floral Cotton Kurta Set,Rs. 4999,5.8k
kurta-sets/libas/libas-women-blue-printed-kurta-with-palazzos--with-dupatta/13284930/buy,Rs. 1119,4,Libas,Kurta with Palazzos & Dupatta,Rs. 2799,8.5k
kurta-sets/kalini/kalini-floral-printed-thread-work-detailed-straight-kurta--trouser-with-dupatta/26121334/buy,Rs. 782,3.9,KALINI,Kurta & Trouser With Dupatta,Rs. 4345,704
kurta-sets/sangria/sangria-embroidered-shoulder-straps-straight-kurta-with-trousers--dupatta/24120264/buy,Rs. 1119,4.2,Sangria,Embroidered Kurta Set,Rs. 3499,4.7k
kurta-sets/khushal+k/khushal-k-paisley-printed-v-neck-sleeveless-kurta-with-palazzos--with-dupatta/29418628/buy,Rs. 1307,4.3,Khushal K,Printed Kurta Set,Rs. 5449,268
kurta-sets/indo+era/indo-era-women-white-ethnic-motifs-embroidered-kurta-with-trousers--with-dupatta/18214262/buy,Rs. 1599,4,Indo Era,Women Embroidered Kurta with Trousers With Dupatta,Rs. 4799,3.2k
kurta-sets/anouk/anouk-panelled-kurta-with-trousers/24997940/buy,Rs. 1286,4.3,Anouk,Panelled Kurta with Trousers,Rs. 3899,1.5k
kurta-sets/w/w-floral-print-cotton-kurta-with-straight-pant--dupatta/23002404/buy,Rs. 1460,4.2,W,Kurta With Trousers & Dupatta,Rs. 2999,53
kurta-sets/kalini/kalini-floral-embroidered-v-neck-thread-work-straight--kurta-with-trousers--dupatta/29338684/buy,Rs. 862,3.8,KALINI,Kurta with Trousers & Dupatta,Rs. 3749,242
kurta-sets/kalini/kalini-floral-printed-v-neck-beads-and-stones-kurta-with-trousers--dupatta/26295700/buy,Rs. 782,3.8,KALINI,Printed Straight Kurta Set,Rs. 4345,1.4k
kurta-sets/indo+era/indo-era-women-ethnic-motifs-embroidered-regular-sequinned-kurta-with-trousers--dupatta/22911878/buy,Rs. 1699,4.2,Indo Era,Women Embroidered Kurta with Trousers With Dupatta,Rs. 6999,3.2k
ethnic-dresses/rustorange/rustorange-black--orange-ethnic-motifs-printed-maxi-dress/11101348/buy,Rs. 999,4.3,Rustorange,Ethnic Motifs Maxi Dress,Rs. 3099,5.3k
kurta-sets/kalini/kalini-floral-embroidered-regular-kurta-with-trousers--dupatta/25294848/buy,Rs. 1889,4,KALINI,Kurta With Trousers & Dupatta,Rs. 8999,1.1k
kurtas/kalini/kalini-floral-printed-notch-neck-chikankari-thread-work--kurta/30007798/buy,Rs. 799,4.1,KALINI,Floral Printed Kurta,Rs. 3197,5k
