URL,Discount,Rating,Brand,Item,MRP,Reviews
sarees/mitera/mitera-striped-embellished-saree/27889520/buy,Rs. 2099,3.6,Mitera,Striped Embellished Saree,Rs. 9999,96
sarees/kalini/kalini-floral-batik-dyed-chiffon-saree/22010256/buy,Rs. 615,4,KALINI,Batik Dyed Chiffon Saree,Rs. 2799,1.6k
sarees/vairagee/vairagee-green--gold-floral-sequinned-organza-saree/18239848/buy,Rs. 1299,4.4,VAIRAGEE,Floral Organza Saree,Rs. 12999,629
sarees/saree+mall/saree-mall-ombre-sarees/24262372/buy,Rs. 1789,4.1,Saree mall,Ombre Saree,Rs. 6599,851
sarees/anouk/anouk-polka-dots-woven-design-zari-patola-saree/22278572/buy,Rs. 1479,4.3,Anouk,Woven Design Zari Patola Saree,Rs. 5899,5.3k
sarees/modeva/modeva-embellished-sequinned-ready-to-wear-saree/28091082/buy,Rs. 2686,4.4,modeva,Ready to Wear Saree,Rs. 12792,15
sarees/mitera/mitera-pink--gold-toned-ethnic-motif-woven-design-zari-paithani-saree/23119874/buy,Rs. 1539,4.2,Mitera,Woven Design Paithani Saree,Rs. 6999,1.1k
sarees/saree+mall/saree-mall-ethnic-motifs-pure-cotton-ready-to-wear-ikat-sarees/29579842/buy,Rs. 1439,4.5,Saree mall,Ikat Pure Cotton Saree,Rs. 5999,10
sarees/inithi/inithi-sequinned-pure-georgette-saree/29117394/buy,Rs. 1599,2.9,Inithi,Floral Embroidered Saree,Rs. 9999,19
sarees/satrani/satrani-ethnic-motifs-woven-design-ready-to-wear-saree/30106420/buy,Rs. 1130,,Satrani,Ready to Wear Saree,Rs. 5650,
sarees/saree+mall/saree-mall-beads-and-stones-pure-chiffon-bagru-sarees/29492882/buy,Rs. 1439,3.9,Saree mall,Bagru Pure Chiffon Saree,Rs. 5999,71
sarees/kalini/kalini-ethnic-motifs-woven-design-zari-kanjeevaram-saree/28047310/buy,Rs. 1499,3.2,KALINI,Ethnic Kanjeevaram Saree,Rs. 8999,58
sarees/kalini/kalini-ethnic-motifs-printed-pure-cotton-bagh-saree/26909200/buy,Rs. 845,4,KALINI,Pure Cotton Bagh Saree,Rs. 4699,158
sarees/koskii/koskii-women-maroon--silver-toned-beads-and-stones-embellished-saree/19475372/buy,Rs. 2691,4.2,Koskii,Women Embellished Saree,Rs. 2990,396
