URL,Discount,Rating,Brand,Item,MRP,Reviews
jackets/stylecast/stylecast-colourblocked-cotton-denim-jacket/26370252/buy,Rs. 1999,4.8,StyleCast,Colourblocked Denim Jacket,Rs. 4899,4
jackets/athlisis/athlisis-women-geometric-lightweight-crop-training-or-gym-sporty-jacket/29648038/buy,Rs. 997,3.3,ATHLISIS,Geometric Lightweight Crop Training or Gym Sporty Jacket,Rs. 2849,8
jackets/puma/puma-x-first-mile-colourblocked-running-jacket/24059338/buy,Rs. 4319,4.1,Puma,x FIRST MILE Running Jacket,Rs. 5999,58
jackets/montrez/montrez-spread-collar-cotton-denim-jacket/24941976/buy,Rs. 599,4.1,MONTREZ,Cotton Denim Jacket,Rs. 1499,119
jackets/stylecast/stylecast-khaki-longline-tailored-jacket/27011592/buy,Rs. 1399,,StyleCast,Longline Tailored Jacket,Rs. 3799,
jackets/montrez/montrez-women-blue-washed-crop-denim-jacket/19561470/buy,Rs. 599,4,MONTREZ,Washed Crop Denim Jacket,Rs. 1499,598
jackets/rareism/rareism-open-front-longline-jacket--/26659090/buy,Rs. 2384,4.1,RAREISM,Open Front Longline Jacket,Rs. 5299,15
jackets/waylene/waylene-lightweight-training-or-gym-sporty-jacket/28773570/buy,Rs. 899,4.7,WAYLENE,Lightweight Gym Sporty Jacket,Rs. 1699,18
jackets/vero+moda/vero-moda-spread-collar-lightweight-crop-denim-jacket/27389882/buy,Rs. 2029,3.5,Vero Moda,Spread Collar Denim Jacket,Rs. 3499,6
jackets/stylecast/stylecast-black-checked-hooded-tailored-jacket/25631758/buy,Rs. 1799,,StyleCast,Checked Hooded Tailored Jacket,Rs. 4799,
jackets/perfkt-u/perfkt-u-women-windcheater-training-or-gym-sporty-jacket-with-embroidered/30044155/buy,Rs. 924,,PERFKT-U,Windcheater Training or Gym Sporty Jacket with Embroidered,Rs. 2499,
jackets/hangup/hangup-women-cream-coloured-printed-open-front-jacket/12692600/buy,Rs. 799,4.1,Hangup,Printed Open Front Jacket,Rs. 1999,4.6k
jackets/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-women-charcoal-grey-solid-sporty-jacket/4453376/buy,Rs. 1399,4.1,HRX by Hrithik Roshan,Women Solid Sporty Jacket,Rs. 3999,2.6k
jackets/stylecast/stylecast-cream-coloured-lapel-collar-open-front-jacket/27011586/buy,Rs. 1299,,StyleCast,Lapel Collar Open Front Jacket,Rs. 3599,
jackets/montrez/montrez-women-white-printed-denim-jacket/18601482/buy,Rs. 599,4.3,MONTREZ,Printed Denim Jacket,Rs. 1999,2.2k
jackets/street+9/street-9-women-olive-green-striped-lightweight-tailored-jacket/13038892/buy,Rs. 703,4.1,STREET 9,Striped Tailored Jacket,Rs. 2199,691
jackets/stylecast/stylecast-white-floral-denim-jacket-with-embroidered/29308558/buy,Rs. 1399,,StyleCast,Denim Jacket with Embroidered,Rs. 3199,
jackets/aarika/aarika-women-off-white-embroidered-crop-open-front-jacket/18156068/buy,Rs. 799,4.2,Aarika,Embroidered Open Front Jacket,Rs. 1999,1.1k
jackets/freakins/freakins-classic-relaxed-fit-pure-cotton-longline-denim-jacket/26113610/buy,Rs. 2483,,FREAKINS,Cotton Longline Denim Jacket,Rs. 5399,
jackets/deewa/deewa-women-charcoal-grey-sheen-effect-solid-hooded-puffer-jacket-/11043644/buy,Rs. 1319,4.1,Deewa,Women Hooded Puffer Jacket,Rs. 4549,1.7k
coats/happiness+istanbul/happiness-istanbul-notched-lapel-single-breasted-overcoat/29730874/buy,Rs. 4649,,Happiness istanbul,Single-Breasted Overcoat,Rs. 6199,
jackets/nike/-nike-running-division-womens-packable-running-jacket/30028867/buy,,,Nike,Running Division Women Jacket,,
jackets/sassafras/sassafras-women-black-solid-fringed-hem-denim-jacket/12221916/buy,Rs. 719,4.3,SASSAFRAS,Fringed Hem Denim Jacket,Rs. 1799,4.7k
coats/vero+moda/vero-moda-single-breasted-trench-coat/25968084/buy,Rs. 3149,5,Vero Moda,Single-Breasted Trench Coat,Rs. 6999,6
jackets/levis/levis-solid-collared-pure-cotton-denim-jacket/23687342/buy,Rs. 4500,4.5,Levis,Collared Denim Jacket,Rs. 10000,129
jackets/athlisis/athlisis-lightweight-long-sleeves-outdoor-knitted-dry-fit-sporty-jacket/26025268/buy,Rs. 997,4.3,ATHLISIS,Lightweight Sporty Jacket,Rs. 2849,50
jackets/tboj/tboj-lapel-collar-water-resistant-anti-odour-leather-jacket/24912990/buy,Rs. 2899,4.4,TBOJ,Lapel Collar Leather Jacket,Rs. 5999,21
jackets/levis/levis-pure-cotton-denim-jacket-with-embroidered-detail/26296476/buy,Rs. 6050,,Levis,Pure Cotton Denim Jacket,Rs. 11000,
jackets/mango/mango-tweed-tailored-jacket/28455978/buy,Rs. 4394,3.2,MANGO,Tweed Tailored Jacket,Rs. 7990,5
jackets/athlisis/athlisis-dry-fit-lightweight-training-or-gym-sporty-jacket/26817180/buy,Rs. 1196,4.4,ATHLISIS,Training or Gym Sporty Jacket,Rs. 2849,167
jackets/trend+alacati+stili/trend-alacati-stili-longline-denim-jacket/22822304/buy,Rs. 5439,,Trend Alacati stili,Longline Denim Jacket,Rs. 6799,
jackets/rareism/rareism-spread-collar-tailored-jacket/25370106/buy,Rs. 2999,4,RAREISM,Spread Collar Tailored Jacket,Rs. 4999,13
jackets/mast+%26+harbour/mast--harbour-pure-cotton-denim-jacket/24084932/buy,Rs. 1119,4.4,Mast & Harbour,Pure Cotton Denim Jacket,Rs. 2799,103
jackets/stylecast/stylecast-women-crop-biker-jacket/27972066/buy,Rs. 1149,3.3,StyleCast,Crop Biker Jacket,Rs. 2849,6
jackets/adidas/adidas-otr-b-jkt-hooded-sporty-jacket/28017304/buy,Rs. 4199,,ADIDAS,Hooded Sporty Jacket,Rs. 6999,
jackets/stylecast/stylecast-black-checked-longline-tailored-jacket/27011584/buy,Rs. 1299,1.9,StyleCast,Checked Tailored Jacket,Rs. 3699,9
coats/bebe/bebe-women-party-fuax-fur-trim-front-open-longline-overcoat/23369158/buy,Rs. 4179,4.4,bebe,Party Fuax Fur Trim Overcoat,Rs. 10999,46
jackets/nike/-nike-sportswear-phoenix-fleece-womens-oversized-tracksuit-jacket/30114611/buy,,,Nike,Sportswear Phoenix Jacket,,
jackets/athlisis/athlisis-lightweight-dry-fit-training-or-gym-sporty-jacket/26817178/buy,Rs. 1196,4.5,ATHLISIS,Training or Gym Sporty Jacket,Rs. 2849,157
jackets/campus+sutra/campus-sutra-blue-floral-printed-windcheater-cotton-denim-jacket/25876820/buy,Rs. 1224,4.9,Campus Sutra,Printed Denim Jacket,Rs. 3499,12
jackets/jockey/jockey-antimicrobial-relaxed-fit-training-or-gym-sporty-jacket/26221816/buy,,4.1,Jockey,Antimicrobial Sporty Jacket,,34
jackets/foreign+culture+by+fort+collins/foreign-culture-by-fort-collins-windcheater-outdoor-sporty-jacket/23779166/buy,Rs. 1962,4.4,Foreign Culture By Fort Collins,Windcheater Sporty Jacket,Rs. 2180,58
jackets/street+9/street-9-women-blue-solid-crop-denim-jacket/19501264/buy,Rs. 719,4.3,STREET 9,Solid Crop Denim Jacket,Rs. 2399,257
jackets/leather+retail/leather-retail-women-black-outdoor-biker-jacket/20115956/buy,Rs. 2599,4.2,Leather Retail,Outdoor Biker Jacket,Rs. 3999,113
