URL,Discount,Rating,Brand,Item,MRP,Reviews
dresses/athena/athena-cotton-denim-sheath-dress/21394918/buy,Rs. 1091,3.6,Athena,Denim Cotton Sheath Dress,Rs. 2799,2.2k
dresses/mango/mango-embroidered-sheath-midi-dress/29752792/buy,Rs. 7191,5,MANGO,Embroidered Sheath Midi Dress,Rs. 7990,3
dresses/mast+%26+harbour/mast--harbour-a-line-midi-dress/19656664/buy,Rs. 836,3.5,Mast & Harbour,A-Line Midi Dress,Rs. 2699,1.4k
dresses/trendyol/trendyol-cotton-lapel-neck-extended-sleeves-shirt-opaque-dress/27118898/buy,Rs. 2999,4.1,Trendyol,Opaque  Shirt Dress,Rs. 3999,83
dresses/antheaa/antheaa-green--pink-chiffon-geometric-print-tiered-dress/19078094/buy,Rs. 998,4.2,Antheaa,Chiffon Printed Tiered Dress,Rs. 2699,2.5k
dresses/tokyo+talkies/tokyo-talkies-black-self-design-v-neck-lace-insert-detail-a-line-mini-dress/24154170/buy,Rs. 559,3.9,Tokyo Talkies,Self Design A-Line Mini Dress,Rs. 1999,857
dresses/antheaa/antheaa-floral-printed-embroidered-puff-sleeve-chiffon-fit--flare-tiered-midi-dress/27625242/buy,Rs. 1439,4.3,Antheaa,Floral Print Fit & Flare Dress,Rs. 3199,133
ethnic-dresses/rain+%26+rainbow/rain--rainbow-ethnic-motifs-printed-maxi-fit--flare-tiered-pure-cotton-ethnic-dress/27100912/buy,Rs. 1497,4.5,Rain & Rainbow,Printed Cotton Ethnic Dress,Rs. 2995,1.1k
ethnic-dresses/rustorange/rustorange-multicoloured-ethnic-motifs-maxi-dress/15111412/buy,Rs. 1368,4.2,Rustorange,Ethnic Motifs Maxi Dress,Rs. 3699,674
ethnic-dresses/libas/libas-black-embroidered-ethnic-motifs-a-line-dress/10842022/buy,Rs. 967,4.4,Libas,Ethnic Motifs A-Line Dress,Rs. 2199,20.8k
dresses/mango/mango-floral-print-waist-tie-up-a-line-midi-dress/29933919/buy,Rs. 4311,,MANGO,Floral Print A-Line Midi Dress,Rs. 4790,
dresses/berrylush/berrylush-women-classic-white-self-design-corset-dress/17220574/buy,Rs. 1614,4.4,Berrylush,Self-Design Corset Dress,Rs. 1899,2.4k
dresses/varanga/varanga-solid-gathered-puff-sleeve-crepe-a-line-midi-dress/25264882/buy,Rs. 683,3.8,Varanga,Solid Crepe A-Line Midi Dress,Rs. 3599,1.2k
dresses/inweave/inweave-conversational-printed-fit--flare-dress/27547560/buy,Rs. 1483,4.3,InWeave,Printed Fit & Flare Dress,Rs. 5299,334
dresses/baesd/baesd-girls-ruffled-net-fit--flare-dress/29564422/buy,Rs. 719,3.8,BAESD,Girls Net Fit & Flare Dress,Rs. 1999,142
dresses/antheaa/antheaa-chiffon-gathered-or-pleated-fit--flare-party-dress/26896892/buy,Rs. 1439,4.1,Antheaa,Chiffon Fit & Flare Dress,Rs. 3199,196
dresses/ishin/ishin-off-white-ethnic-motifs-a-line-dress/13901756/buy,Rs. 1363,4.1,Ishin,Ethnic Motifs A-Line Dress,Rs. 4399,6.5k
